date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:54:00	0/0	---M--	200	added ('OK')	text/plain	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/robots.txt		(from )
22:54:02	216045/216045	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/index.html	(from )
22:54:04	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/favicon.ico	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/favicon.ico	(from https://importanceofislambdforall.blogspot.com/)
22:54:06	219298/219298	---M-Z	200	added ('OK')	application/atom+xml	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/feeds/posts/default	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/feeds/posts/default	(from https://importanceofislambdforall.blogspot.com/)
22:54:07	193816/193816	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/feeds/posts/default?alt=rss	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/feeds/posts/default9522	(from https://importanceofislambdforall.blogspot.com/)
22:54:07	11802/11802	---M--	200	added ('OK')	text/javascript	date:Wed,%2014%20Apr%202021%2019:28:00%20GMT	https://www.gstatic.com/external_hosted/clipboardjs/clipboard.min.js	D:/Websites/importanceofislam/www.gstatic.com/external_hosted/clipboardjs/clipboard.min.js	(from https://importanceofislambdforall.blogspot.com/)
22:54:07	7658/7658	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2007%20Nov%202021%2015:50:39%20GMT	https://importanceofislambdforall.blogspot.com/responsive/sprite_v1_6.css.svg	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/responsive/sprite_v1_6.css.svg	(from https://importanceofislambdforall.blogspot.com/)
22:54:09	109593/109593	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/p/privacy-policy.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/p/privacy-policy.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:11	101942/101942	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/p/copyright-c-2021-mohammad-taseen-khan.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/p/copyright-c-2021-mohammad-taseen-khan.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:13	108908/108908	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/blog-post_26.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/blog-post_26.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:15	110641/110641	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/blog-post_55.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/blog-post_55.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:17	134141/134141	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/blog-post_19.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/blog-post_19.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:17	80091/80091	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Nov%202021%2016:54:17%20GMT	https://importanceofislambdforall.blogspot.com/https	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/https.a.delayed	(from https://importanceofislambdforall.blogspot.com/)
22:54:19	109360/109360	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/blog-post_23.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/blog-post_23.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:21	232966/232966	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/Real%20Fact	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/Real%20Fact.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:23	109985/109985	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/blog-post_69.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/blog-post_69.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:25	128729/128729	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/blog-post_47.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/blog-post_47.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:27	118118/118118	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/blog-post_16.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/blog-post_16.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:28	199437/199437	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/Important%20to%20know	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/Important%20to%20know.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:29	114235/114235	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/blog-post_15.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/blog-post_15.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:31	112921/112921	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/2021/10/blog-post_9.html	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/2021/10/blog-post_9.html	(from https://importanceofislambdforall.blogspot.com/)
22:54:33	242832/242832	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Nov%202021%2017:07:17%20GMT	https://importanceofislambdforall.blogspot.com/search/label/Our%20day%20to%20day%20life	D:/Websites/importanceofislam/importanceofislambdforall.blogspot.com/search/label/Our%20day%20to%20day%20life.html	(from https://importanceofislambdforall.blogspot.com/)
